,Date,Latitude,Longitude,Speed,Y,X,Z,speedbump
71,9/10/17 10:44,34.01905,-118.289043,6.1,0.195648,0.084961,-0.946152,no
72,9/10/17 10:44,34.019078,-118.28911,6.79,0.139267,0.081039,-1.000183,no
73,9/10/17 10:44,34.019078,-118.28911,6.79,0.126968,-0.020416,-1.136475,no
74,9/10/17 10:44,34.019078,-118.28911,6.79,0.076645,0.011871,-1.131912,no
75,9/10/17 10:44,34.019078,-118.28911,6.79,0.152878,0.150436,-0.731232,no
76,9/10/17 10:44,34.019078,-118.28911,6.79,0.109024,-0.008499,-0.821259,no
77,9/10/17 10:44,34.019078,-118.28911,6.79,0.255417,-0.086746,-0.964996,no
78,9/10/17 10:44,34.019078,-118.28911,6.79,-0.050003,0.021286,-1.0746,no
79,9/10/17 10:44,34.019078,-118.28911,6.79,0.183594,-0.009109,-1.003479,no
80,9/10/17 10:44,34.019078,-118.28911,6.79,0.041016,0.083923,-1.065781,no
81,9/10/17 10:44,34.019078,-118.28911,6.79,0.206757,-0.005966,-1.057816,no
82,9/10/17 10:44,34.019116,-118.289178,7.48,0.066223,0.038666,-0.860565,no
83,9/10/17 10:44,34.019116,-118.289178,7.48,0.212311,-0.050674,-1.043442,no
84,9/10/17 10:44,34.019116,-118.289178,7.48,0.077179,0.100327,-0.954544,no
85,9/10/17 10:44,34.019116,-118.289178,7.48,0.184082,-0.013351,-0.989273,no
86,9/10/17 10:44,34.019116,-118.289178,7.48,0.057129,-0.036438,-1.205002,no
87,9/10/17 10:44,34.019116,-118.289178,7.48,-0.6035,0.1185,-1.468521,no
88,9/10/17 10:44,34.019116,-118.289178,7.48,0.094788,-0.650833,-0.523117,yes
89,9/10/17 10:44,34.019116,-118.289178,7.48,-0.035156,-0.015427,-0.383942,no
90,9/10/17 10:44,34.019116,-118.289178,7.48,-0.780762,0.148438,-1.205933,yes
91,9/10/17 10:44,34.019116,-118.289178,7.48,0.246933,-0.174515,-0.987259,yes
92,9/10/17 10:44,34.019116,-118.289178,7.48,0.274338,0.002136,-1.078537,no
93,9/10/17 10:44,34.019149,-118.28926,8.36,-0.069519,0.158188,-1.165497,no
94,9/10/17 10:44,34.019149,-118.28926,8.36,0.320099,-0.20488,-0.776825,no
95,9/10/17 10:44,34.019149,-118.28926,8.36,0.009186,-0.097519,-0.901505,no
96,9/10/17 10:44,34.019149,-118.28926,8.36,0.21225,0.093918,-1.046417,no
97,9/10/17 10:44,34.019149,-118.28926,8.36,0.163498,0.074142,-1.120377,no
98,9/10/17 10:44,34.019149,-118.28926,8.36,0.155624,0.056107,-1.087143,no
99,9/10/17 10:44,34.019149,-118.28926,8.36,0.160202,0.047165,-0.945267,no
100,9/10/17 10:44,34.019149,-118.28926,8.36,0.113571,0.011124,-0.959488,no
101,9/10/17 10:44,34.019149,-118.28926,8.36,0.159134,0.024323,-0.946579,no
102,9/10/17 10:44,34.019149,-118.28926,8.36,0.124557,0.060547,-1.030853,no
103,9/10/17 10:44,34.019169,-118.289361,8.81,0.122879,0.020905,-0.955429,no
104,9/10/17 10:44,34.019169,-118.289361,8.81,0.113861,0.039124,-0.950943,no
105,9/10/17 10:44,34.019169,-118.289361,8.81,0.169357,0.041092,-0.994797,no
106,9/10/17 10:44,34.019169,-118.289361,8.81,0.060455,-0.003448,-0.87236,no
107,9/10/17 10:44,34.019169,-118.289361,8.81,0.161163,-0.002151,-1.068588,no
108,9/10/17 10:44,34.019169,-118.289361,8.81,-0.113419,1.84523,-0.310501,yes
109,9/10/17 10:44,34.019169,-118.289361,8.81,1.260452,-1.149429,1.132019,yes
110,9/10/17 10:44,34.019169,-118.289361,8.81,0.339401,0.510956,-1.056808,yes
111,9/10/17 10:44,34.019169,-118.289361,8.81,1.024033,-0.66037,-0.515823,no
112,9/10/17 10:44,34.019169,-118.289361,8.81,-1.0289,0.425018,-1.183121,no
113,9/10/17 10:44,34.019203,-118.289446,8.76,0.52211,-0.278488,-0.817886,no
114,9/10/17 10:44,34.019203,-118.289446,8.76,0.011017,0.197586,-1.091187,no
115,9/10/17 10:44,34.019203,-118.289446,8.76,0.304413,0.191849,-1.103012,no
116,9/10/17 10:44,34.019203,-118.289446,8.76,0.008606,0.013779,-0.991425,no
117,9/10/17 10:44,34.019203,-118.289446,8.76,0.034409,0.084915,-0.865051,no
118,9/10/17 10:44,34.019203,-118.289446,8.76,0.078629,0.104935,-0.979523,no
119,9/10/17 10:44,34.019203,-118.289446,8.76,0.108078,0.022156,-0.998856,no
120,9/10/17 10:44,34.019203,-118.289446,8.76,0.143433,-0.034821,-0.92157,no
121,9/10/17 10:44,34.019203,-118.289446,8.76,0.084869,0.075775,-1.044937,no
122,9/10/17 10:44,34.019203,-118.289446,8.76,0.138916,0.094543,-1.02298,no
123,9/10/17 10:44,34.019242,-118.289529,8.75,0.098969,0.088089,-1.009674,no
124,9/10/17 10:44,34.019242,-118.289529,8.75,0.141129,0.038834,-0.994949,no
125,9/10/17 10:44,34.019242,-118.289529,8.75,0.089294,0.020905,-0.900665,no
126,9/10/17 10:44,34.019242,-118.289529,8.75,0.075974,0.028915,-0.989487,no
127,9/10/17 10:44,34.019242,-118.289529,8.75,0.176071,0.013321,-0.994446,no
128,9/10/17 10:44,34.019242,-118.289529,8.75,0.151733,-0.019028,-0.989975,no
129,9/10/17 10:44,34.019242,-118.289529,8.75,0.10788,0.089508,-1.032532,no
130,9/10/17 10:44,34.019242,-118.289529,8.75,0.165466,0.096039,-1.016617,no
131,9/10/17 10:44,34.019242,-118.289529,8.75,0.121872,0.022659,-0.992477,no
132,9/10/17 10:44,34.019309,-118.289628,10.59,0.065475,0.090424,-0.982407,no
133,9/10/17 10:44,34.019309,-118.289628,10.59,0.04805,0.040619,-1.053345,no
134,9/10/17 10:44,34.019309,-118.289628,10.59,0.421356,-0.204559,-0.529282,no
135,9/10/17 10:44,34.019309,-118.289628,10.59,-0.054001,0.134201,-1.199219,no
136,9/10/17 10:44,34.019309,-118.289628,10.59,0.033234,0.07869,-1.206329,no
137,9/10/17 10:44,34.019309,-118.289628,10.59,0.592896,-0.136826,-0.990204,no
138,9/10/17 10:44,34.019309,-118.289628,10.59,-0.029877,0.310379,-1.21727,no
139,9/10/17 10:44,34.019309,-118.289628,10.59,0.234131,0.10997,-0.98967,no
140,9/10/17 10:44,34.019309,-118.289628,10.59,0.021088,-0.060043,-0.831284,no
141,9/10/17 10:44,34.019309,-118.289628,10.59,0.094055,0.099579,-0.93605,no
142,9/10/17 10:44,34.019355,-118.289729,10.59,0.217606,0.113922,-1.057175,no
143,9/10/17 10:44,34.019355,-118.289729,10.59,0.12738,0.148453,-0.99707,no
144,9/10/17 10:44,34.019355,-118.289729,10.59,0.108612,-0.022202,-0.961075,no
145,9/10/17 10:44,34.019355,-118.289729,10.59,0.022598,-0.038071,-1.016144,no
146,9/10/17 10:44,34.019355,-118.289729,10.59,0.079437,0.094254,-1.066055,no
147,9/10/17 10:44,34.019355,-118.289729,10.59,0.094406,0.034302,-0.998734,no
148,9/10/17 10:44,34.019355,-118.289729,10.59,0.009598,-0.054031,-0.89325,no
149,9/10/17 10:44,34.019355,-118.289729,10.59,0.085236,0.048996,-0.950439,no
150,9/10/17 10:44,34.019355,-118.289729,10.59,0.052353,0.121216,-1.03566,no
151,9/10/17 10:44,34.019355,-118.289729,10.59,0.048706,0.010773,-1.01889,no
152,9/10/17 10:44,34.019404,-118.289844,11.25,0.042389,0.036118,-0.998779,no
153,9/10/17 10:44,34.019404,-118.289844,11.25,0.084732,0.10817,-1.017151,no
154,9/10/17 10:44,34.019404,-118.289844,11.25,0.118866,0.029144,-1.08577,no
155,9/10/17 10:44,34.019404,-118.289844,11.25,0.05835,0.06424,-1.010727,no
156,9/10/17 10:44,34.019404,-118.289844,11.25,0.02713,0.028076,-0.945679,no
157,9/10/17 10:44,34.019404,-118.289844,11.25,0.025772,0.07515,-0.965973,no
158,9/10/17 10:44,34.019404,-118.289844,11.25,0.046524,-0.002777,-1.148834,no
159,9/10/17 10:44,34.019404,-118.289844,11.25,0.150421,-0.169266,-0.923996,no
160,9/10/17 10:44,34.019404,-118.289844,11.25,0.037506,0.133087,-1.056488,no
161,9/10/17 10:44,34.019404,-118.289844,11.25,-0.137222,-0.047211,-0.996307,no
162,9/10/17 10:44,34.019452,-118.289952,11.24,0.15535,-0.151123,-0.64563,no
163,9/10/17 10:44,34.019452,-118.289952,11.24,-0.004272,0.131256,-1.122009,no
164,9/10/17 10:44,34.019452,-118.289952,11.24,0.08609,0.284668,-1.198639,no
165,9/10/17 10:44,34.019452,-118.289952,11.24,-0.142715,-0.120422,-0.799759,no
166,9/10/17 10:44,34.019452,-118.289952,11.24,0.093704,0.053513,-0.974274,no
167,9/10/17 10:44,34.019452,-118.289952,11.24,0.007736,0.205734,-1.137299,no
168,9/10/17 10:44,34.019452,-118.289952,11.24,0.013062,0.058762,-1.00827,no
169,9/10/17 10:44,34.019452,-118.289952,11.24,0.014542,-0.093491,-0.889297,no
170,9/10/17 10:44,34.019452,-118.289952,11.24,-0.072037,0.113907,-0.918945,no
171,9/10/17 10:44,34.019452,-118.289952,11.24,-0.040588,0.156219,-1.043915,no
172,9/10/17 10:44,34.019452,-118.289952,11.24,-0.069321,0.097839,-1.034378,no
173,9/10/17 10:44,34.019505,-118.290054,10.72,-0.077499,0.004395,-0.989395,no
174,9/10/17 10:44,34.019505,-118.290054,10.72,-0.113327,0.074158,-0.998596,no
175,9/10/17 10:44,34.019505,-118.290054,10.72,0.009995,0.010757,-1.085541,no
176,9/10/17 10:44,34.019505,-118.290054,10.72,-0.039948,-0.002853,-0.991409,no
