Date,Speed,Altitude,Pressure,X,Y,Z,G,Latitude,Longitude,Heading,Magnetic Field,Sound Level,Luminance
57:30.3,0,62.136749,1004.728851,-0.091431,-0.519806,-0.77327,0.936218,34.022436,-118.280769,356.52356,30.207986,-120,0
57:30.4,0,62.136749,1004.728851,-0.099533,-0.489304,-0.809372,0.951004,34.022436,-118.280769,348.040802,36.455533,-43.261707,0
57:30.5,0,62.136749,1004.728851,-0.128174,-0.408371,-0.926147,1.020267,34.022436,-118.280769,348.040802,36.455533,-40.151344,0
57:30.6,0,62.136749,1004.728851,-0.165131,-0.514633,-0.797211,0.963151,34.022436,-118.280769,346.673218,36.699245,-37.833885,0
57:30.7,0,62.136749,1004.728851,-0.186264,-0.543274,-0.857605,1.032147,34.022436,-118.280769,345.529053,36.841665,-37.747196,0
57:30.8,0,62.136749,1004.728851,-0.16333,-0.546097,-0.827652,1.004941,34.022436,-118.280769,344.346313,36.537787,-39.298515,0
57:30.9,0,62.136749,1004.721146,-0.160309,-0.561325,-0.79567,0.986851,34.022436,-118.280769,344.346313,36.537787,-36.147312,0
57:31.0,0,62.136749,1004.721146,-0.122437,-0.54277,-0.783936,0.961325,34.022436,-118.280769,344.346313,36.537787,-38.154644,0
57:31.1,0,62.136749,1004.721146,-0.170258,-0.554718,-0.823669,1.007537,34.022436,-118.280769,344.346313,36.537787,-40.539528,0
57:31.2,0,62.136749,1004.721146,-0.181396,-0.533249,-0.776672,0.959416,34.022436,-118.280769,344.346313,36.537787,-42.785778,0
57:31.3,0,62.136749,1004.721146,-0.182724,-0.467896,-0.85611,0.992592,34.022436,-118.280769,344.346313,36.537787,-44.546238,0
57:31.4,0,62.136749,1004.721146,-0.156921,-0.439926,-0.896393,1.010782,34.022436,-118.280769,344.346313,36.537787,-46.345936,0
57:31.5,0,62.136749,1004.721146,-0.202866,-0.435776,-0.907684,1.027106,34.022436,-118.280769,344.346313,36.537787,-45.112797,0
57:31.6,0,62.136749,1004.721146,-0.167389,-0.448196,-0.898773,1.018181,34.022436,-118.280769,344.346313,36.537787,-38.262409,0
57:31.7,0,62.136749,1004.721146,-0.148178,-0.424515,-0.897202,1.003564,34.022436,-118.280769,344.346313,36.537787,-40.867779,0
57:31.8,0,62.136749,1004.721146,-0.015411,-0.492874,-0.857437,0.989121,34.022436,-118.280769,343.157196,35.420486,-40.803196,0
57:31.9,0,62.136749,1004.717484,-0.024689,-0.532303,-0.833817,0.989548,34.022436,-118.280769,343.157196,35.420486,-41.584545,0
57:32.0,0,62.136749,1004.717484,-0.019699,-0.554901,-0.835251,1.002969,34.022436,-118.280769,343.157196,35.420486,-41.877689,0
57:32.1,0,62.136749,1004.717484,-0.004639,-0.566345,-0.787476,0.969993,34.022436,-118.280769,342.118134,35.860059,-40.507656,0
57:32.2,3.416814,62.481155,1004.717484,-0.027832,-0.573868,-0.759598,0.952411,34.023131,-118.280226,342.118134,35.860059,-39.252426,0
57:32.3,3.416814,62.481155,1004.717484,-0.057617,-0.579834,-0.81218,0.999581,34.023131,-118.280226,342.118134,35.860059,-39.632034,0
57:32.4,3.416814,62.481155,1004.717484,-0.030045,-0.56955,-0.807053,0.988243,34.023131,-118.280226,342.118134,35.860059,-42.628582,0
57:32.5,3.416814,62.481155,1004.717484,-0.034195,-0.579926,-0.812271,0.998633,34.023131,-118.280226,343.14328,36.080406,-41.915443,0
57:32.6,3.416814,62.481155,1004.717484,-0.037674,-0.556244,-0.82254,0.99368,34.023131,-118.280226,343.14328,36.080406,-45.081081,0
57:32.7,3.416814,62.481155,1004.717484,-0.061386,-0.568283,-0.825928,1.004425,34.023131,-118.280226,343.14328,36.080406,-44.123947,0
57:32.8,3.416814,62.481155,1004.713516,-0.061386,-0.568283,-0.825928,1.004425,34.023131,-118.280226,343.14328,36.080406,-46.373165,0
57:32.9,3.416814,62.481155,1004.713516,-0.043365,-0.575302,-0.798309,0.984962,34.023131,-118.280226,343.14328,36.080406,-42.425205,0
57:33.0,3.416814,62.481155,1004.713516,-0.043427,-0.589935,-0.791595,0.988197,34.023131,-118.280226,343.14328,36.080406,-44.679634,0
57:33.1,3.416814,62.481155,1004.713516,-0.05011,-0.593582,-0.777512,0.979477,34.023131,-118.280226,343.14328,36.080406,-46.979073,0
57:33.2,0,60.525749,1004.713516,-0.057602,-0.587677,-0.795258,0.990513,34.023283,-118.280179,343.14328,36.080406,-46.603527,0
57:33.3,0,60.525749,1004.713516,-0.053101,-0.601151,-0.784683,0.989914,34.023283,-118.280179,344.16861,36.470158,-45.884323,0
57:33.4,0,60.525749,1004.713516,-0.038086,-0.602051,-0.784149,0.989346,34.023283,-118.280179,344.16861,36.470158,-44.183346,0
57:33.5,0,60.525749,1004.713516,-0.040222,-0.614761,-0.791534,1.003033,34.023283,-118.280179,344.16861,36.470158,-42.869751,0
57:33.6,0,60.525749,1004.713516,-0.046661,-0.605042,-0.799728,1.003901,34.023283,-118.280179,344.16861,36.470158,-45.856884,0
57:33.7,0,60.525749,1004.713516,-0.045349,-0.601395,-0.771133,0.978968,34.023283,-118.280179,344.16861,36.470158,-40.160099,0
57:33.8,0,60.525749,1004.70787,-0.051041,-0.60553,-0.785248,0.992918,34.023283,-118.280179,344.16861,36.470158,-43.389988,0
57:33.9,0,60.525749,1004.70787,-0.047791,-0.608231,-0.779449,0.989833,34.023283,-118.280179,344.16861,36.470158,-40.990784,0
57:34.0,0,60.525749,1004.70787,-0.046402,-0.606155,-0.792328,0.99868,34.023283,-118.280179,344.16861,36.470158,-41.849998,0
57:34.1,0,60.525749,1004.70787,-0.053619,-0.600357,-0.7966,0.998937,34.023283,-118.280179,344.16861,36.470158,-42.81778,0
57:34.2,0.33,60.744987,1004.70787,-0.053619,-0.600357,-0.7966,0.998937,34.023304,-118.280154,344.16861,36.470158,-38.522758,0
57:34.3,0.33,60.744987,1004.70787,-0.019623,-0.610397,-0.770004,0.98279,34.023304,-118.280154,344.16861,36.470158,-41.411747,0
57:34.4,0.33,60.744987,1004.70787,-0.024384,-0.597458,-0.789124,0.990084,34.023304,-118.280154,344.16861,36.470158,-39.117783,0
57:34.5,0.33,60.744987,1004.70787,-0.008331,-0.595001,-0.792343,0.99091,34.023304,-118.280154,344.16861,36.470158,-38.744999,0
57:34.6,0.33,60.744987,1004.70787,-0.017761,-0.606567,-0.800446,1.004466,34.023304,-118.280154,344.16861,36.470158,-39.435795,0
57:34.7,0.33,60.744987,1004.70787,-0.019913,-0.603485,-0.804062,1.005538,34.023304,-118.280154,344.16861,36.470158,-40.623955,0
57:34.8,0.33,60.744987,1004.70787,-0.019043,-0.602798,-0.798111,1.000355,34.023304,-118.280154,344.16861,36.470158,-42.97546,0
57:35.0,0.33,60.744987,1004.70787,-0.059799,-0.566315,-0.783478,0.968569,34.023304,-118.280154,344.16861,36.470158,-45.011578,0
57:35.1,0.33,60.744987,1004.70787,-0.003082,-0.566345,-0.820908,0.997319,34.023304,-118.280154,345.173004,36.039547,-46.291603,0
