"","X","Batch_id","time","Longitude","Latitude","x","y","z","velocity","x_raw","y_raw","z_raw","label","x_ratio_speed","x_ratio_z"
"31",33,73,"2017-10-15 13:43:05.026",36.76385614,-1.29768575,0,0,-0.001,0.647479018118,-0.208,0.104757482076,-0.660272446228,0,-0.321245931033541,0.315021475132365
"32",34,73,"2017-10-15 13:43:05.129",36.76385614,-1.29768575,0.001,-0.002,0.005,0.647479018118,-0.105,-0.101242517924,-0.145272446228,0,-0.162167417108278,0.722779871381846
"33",35,73,"2017-10-15 13:43:05.234",36.76385614,-1.29768575,0,0.001,-0.008,0.647479018118,-0.105,0.00375748207591,-0.985272446228,0,-0.162167417108278,0.10656950816191
"34",36,73,"2017-10-15 13:43:05.338",36.76385614,-1.29768575,-0.001,0.002,0.007,0.647479018118,-0.209,0.211757482076,-0.257272446228,0,-0.322790382625049,0.812368378597294
"35",37,73,"2017-10-15 13:43:05.442",36.76385614,-1.29768575,-0.001,-0.002,-0.015,0.647479018118,-0.313,0.00375748207591,-1.81727244623,0,-0.483413348141819,0.172236144695491
"36",38,73,"2017-10-15 13:43:05.545",36.76385614,-1.29768575,0.001,0.001,0.014,0.647479018118,-0.21,0.106757482076,-0.375272446228,0,-0.324334834216556,0.559593442339789
"37",39,73,"2017-10-15 13:43:05.649",36.76385614,-1.29768575,-0.001,0.003,-0.007,0.647479018118,-0.314,0.418757482076,-1.10327244623,0,-0.484957799733327,0.28460785100994
"38",40,73,"2017-10-15 13:43:05.752",36.76385614,-1.29768575,0.001,-0.001,-0.001,0.647479018118,-0.211,0.315757482076,-1.20627244623,0,-0.325879285808063,0.174919024851678
"39",41,73,"2017-10-15 13:43:05.858",36.76385614,-1.29768575,0.001,-0.002,0.005,0.647479018118,-0.105,0.103757482076,-0.676272446228,0,-0.162167417108278,0.155262868664325
"40",42,73,"2017-10-15 13:43:05.960",36.76385614,-1.29768575,-0.001,0.001,0.002,0.647479018118,-0.207,0.205757482076,-0.472272446228,0,-0.319701479442034,0.438306324354282
"41",44,73,"2017-10-15 13:43:06.064",36.76377207,-1.29767628,0,0.004,-0.008,9.42374362041,-0.207,0.621757482076,-1.30427244623,0,-0.0219657928248046,0.158709171997257
