,Batch id, time, Longitude, Latitude,x,y,z,velocity,x_raw,y_raw,z_raw,label,speedbump,pothole
54,73,43:07.0,36.76376524,-1.29768315,0.006,0.007,0.017,1.077052879,0.195,0.696757482,-0.207272446,0,0,0
55,73,43:07.1,36.76376524,-1.29768315,0.001,-0.002,0.014,1.077052879,0.297,0.492757482,1.220727554,0,0,0
56,73,43:07.2,36.76376524,-1.29768315,-0.002,-0.009,0.001,1.077052879,0.089,-0.443242518,1.324727554,0,0,0
57,73,43:07.3,36.76376524,-1.29768315,0.002,-0.004,-0.01,1.077052879,0.295,-0.855242518,0.294727554,0,0,0
58,73,43:07.4,36.76376524,-1.29768315,-0.001,0.01,-0.027,1.077052879,0.191,0.184757482,-2.513272446,0,0,0
59,73,43:07.5,36.76376524,-1.29768315,0.004,0.003,0.017,1.077052879,0.607,0.496757482,-0.745272446,0,0,0
60,73,43:07.6,36.76376524,-1.29768315,0.001,-0.006,0.016,1.077052879,0.711,-0.127242518,0.918727554,0,0,0
61,73,43:07.7,36.76376524,-1.29768315,-0.007,-0.005,-0.011,1.077052879,-0.017,-0.647242518,-0.225272446,0,0,0
62,73,43:07.8,36.76376524,-1.29768315,-0.006,0,-0.005,1.077052879,-0.641,-0.647242518,-0.745272446,0,0,0
63,73,43:07.9,36.76376524,-1.29768315,-0.001,0.003,0.006,1.077052879,-0.745,-0.335242518,-0.121272446,0,0,0
65,73,43:08.0,36.76376322,-1.29769128,0.007,0.007,-0.002,0.933353764,-0.024,0.385757482,-0.327272446,0,0,0
66,73,43:08.1,36.76376322,-1.29769128,0.003,0.001,0.007,0.933353764,0.288,0.489757482,0.400727554,0,0,0
67,73,43:08.2,36.76376322,-1.29769128,0.001,-0.001,0.016,0.933353764,0.391,0.386757482,2.048727554,0,0,0
68,73,43:08.3,36.76376322,-1.29769128,-0.002,-0.004,-0.009,0.933353764,0.183,-0.029242518,1.112727554,0,0,0
69,73,43:08.4,36.76376322,-1.29769128,-0.004,-0.009,0.003,0.933353764,-0.233,-0.965242518,1.424727554,0,0,0
70,73,43:08.6,36.76376322,-1.29769128,0,0.006,-0.006,0.933353764,-0.233,-0.335242518,0.794727554,0,0,0
71,73,43:08.7,36.76376322,-1.29769128,0.002,0.006,0.002,0.933353764,-0.029,0.276757482,0.998727554,0,0,0
72,73,43:08.8,36.76376322,-1.29769128,0.004,-0.007,-0.006,0.933353764,0.391,-0.458242518,0.368727554,0,0,0
73,73,43:08.9,36.76376322,-1.29769128,-0.003,0.001,-0.005,0.933353764,0.079,-0.354242518,-0.151272446,0,0,0
74,73,43:09.0,36.76376322,-1.29769128,-0.003,0.004,0.001,0.933353764,-0.23,0.057757482,-0.048272446,0,0,0
76,73,43:09.1,36.76375312,-1.29769852,0.002,-0.001,0.003,1.376068771,-0.022,-0.046242518,0.263727554,0,0,0
77,73,43:09.2,36.76375312,-1.29769852,-0.002,-0.001,-0.004,1.376068771,-0.23,-0.150242518,-0.152272446,0,0,0
78,73,43:09.3,36.76375312,-1.29769852,0,-0.001,-0.006,1.376068771,-0.23,-0.253242518,-0.770272446,0,0,0
79,73,43:09.4,36.76375312,-1.29769852,0.002,0.001,-0.001,1.376068771,-0.022,-0.149242518,-0.874272446,0,0,0
80,73,43:09.5,36.76375312,-1.29769852,0.001,0.001,0.002,1.376068771,0.083,-0.044242518,-0.664272446,0,0,0
